siretEtablissementPredecesseur,siretEtablissementSuccesseur,dateLienSuccession,transfertSiege,continuiteEconomique,dateDernierTraitementLienSuccession
30939751101232,33825313109309,2012-01-01,false,true,2024-03-22T11:12:05
31223703500018,31223703500059,2006-07-01,false,true,2024-03-22T11:12:05
31598352800011,41208222400046,2004-12-24,false,true,2024-03-22T11:12:05
34466173100028,34466173100036,1999-11-01,false,true,2024-03-22T11:12:05
34952913100014,82128862800034,2020-01-17,false,false,2024-03-22T11:12:05
38345118400014,31826574100237,1996-02-01,false,false,2024-03-22T11:12:05
48520325100015,50994593700019,2009-01-01,false,false,2024-03-22T11:12:05
48052528600021,83823139700046,2019-06-25,false,true,2024-03-22T11:12:05
38374853000045,51934344600018,2010-01-11,false,true,2024-03-22T11:12:05
49307387800024,49307387800032,2017-02-17,false,true,2024-03-22T11:12:05
53326445300010,53326445300028,2017-09-01,false,true,2024-03-22T11:12:05
78901260600016,30313215300022,2012-02-01,false,true,2024-03-22T11:12:05
83116335700013,95227241700017,2023-07-06,false,true,2024-03-22T11:12:05
42326279900020,88955861500015,2020-10-26,false,true,2024-03-22T11:12:05
34960540200131,38890507700011,1991-09-01,false,true,2024-03-22T11:12:05
38783405400018,49287319500019,2006-10-01,false,true,2024-03-22T11:12:05
33110843100023,49195719700016,2006-10-01,false,true,2024-03-22T11:12:05
41008024600011,41008024600037,2005-10-01,true,true,2024-03-22T11:12:05
77562407500393,77562407501656,2018-01-01,false,true,2024-03-22T11:12:05
82253940900018,84376996900018,2018-12-07,false,true,2024-03-22T11:12:05
43003257300015,50238248400017,2008-01-21,false,false,2024-03-22T11:12:05
44056684200017,85173455800014,2019-07-03,false,true,2024-03-22T11:12:05
78012998701033,41020627000028,1996-12-31,false,true,2024-03-22T11:12:05
73102481600019,47790966700040,2016-08-29,false,true,2024-03-22T11:12:05
48202707500027,94889234400011,2023-01-26,false,true,2024-03-22T11:12:05
79476355700020,91344952600015,2022-07-01,false,false,2024-03-22T11:12:05
39802308500010,51084655300012,2009-03-25,false,false,2024-03-22T11:12:05
50925177300016,88015265700016,2020-01-01,false,true,2024-03-22T11:12:05
90158126400016,90158126400024,2021-11-19,false,true,2024-03-22T11:12:05
34942030700010,82334493200038,2017-04-27,false,false,2024-03-22T11:12:05
80291884700012,80291884700020,2018-07-01,false,true,2024-03-22T11:12:05
30234722400032,80961651900017,2015-05-30,false,true,2024-03-22T11:12:05
90434402500013,90434402500021,2022-10-20,false,false,2024-03-22T11:12:05
39948937600018,48400160700015,2005-09-01,false,true,2024-03-22T11:12:05
81489649400014,87844590700016,2019-10-01,false,true,2024-03-22T11:12:05
32538130900039,49085441100033,2020-05-26,false,true,2024-03-22T11:12:05
31991289500012,38817908700019,1992-09-03,false,true,2024-03-22T11:12:05
50869510300020,50869510300046,2015-03-04,false,true,2024-03-22T11:12:05
81532236700013,91850943100014,2022-09-06,false,true,2024-03-22T11:12:05
74661054200019,43292023900014,2001-01-15,false,false,2024-03-22T11:12:05
79889331900011,88304974400021,2020-05-04,false,true,2024-03-22T11:12:05
70102198200031,43536148000013,2001-03-30,false,true,2024-03-22T11:12:05
73300101000566,30015643700034,1996-11-01,false,false,2024-03-22T11:12:05
31191328900048,52374030600015,2010-09-01,false,true,2024-03-22T11:12:05
40300812100010,44368316400018,2002-08-09,false,true,2024-03-22T11:12:05
79196615300011,79196615300029,2021-10-08,false,false,2024-03-22T11:12:05
89522331100021,97876871100019,2023-09-19,false,true,2024-03-22T11:12:05
75850008600015,40238454900026,1995-10-16,false,true,2024-03-22T11:12:05
77838898300018,77838898300034,2019-03-13,false,true,2024-03-22T11:12:05
39301773600017,41026914600016,1996-12-10,false,true,2024-03-22T11:12:05
41089107100012,41089107100020,2016-01-01,true,true,2024-03-22T11:12:05
48306050500029,83884998200015,2018-03-15,false,false,2024-03-22T11:12:05
32589362600011,32589362600029,2006-02-08,true,true,2024-03-22T11:12:05
44337302200021,44337302200039,2019-05-22,false,false,2024-03-22T11:12:05
39256155100012,39256155100020,2004-04-26,false,false,2024-03-22T11:12:05
48416813300011,82770686200014,2016-12-13,false,true,2024-03-22T11:12:05
40114934900011,40114934900029,1995-09-05,false,false,2024-03-22T11:12:05
43760230300020,43760230300046,2019-09-01,false,false,2024-03-22T11:12:05
82180645200016,88015078400010,2020-01-08,false,false,2024-03-22T11:12:05
34419250500016,39865289100019,1994-10-01,false,true,2024-03-22T11:12:05
58685019000149,53264899500019,2011-06-01,false,true,2024-03-22T11:12:05
49331904000017,49331904000025,2010-01-01,false,true,2024-03-22T11:12:05
2408566400035,2408566400043,2016-06-26,true,true,2024-03-22T11:12:05
34367237400018,79904572900024,2013-12-01,false,false,2024-03-22T11:12:05
34367237400018,81994256600020,2016-05-02,false,false,2024-03-22T11:12:05
50796765100013,78866969500017,2012-10-24,false,true,2024-03-22T11:12:05
88521389200015,98059494900011,2023-12-05,false,true,2024-03-22T11:12:05
41488475900013,42423390600017,1999-07-01,false,true,2024-03-22T11:12:05
42671200600011,39759153800020,2001-12-26,false,true,2024-03-22T11:12:05
38867206500017,81222543100012,2015-07-01,false,true,2024-03-22T11:12:05
51093837600017,83087529000017,2017-08-01,false,false,2024-03-22T11:12:05
92029318000013,92029318000021,2022-11-23,true,true,2024-03-22T11:12:05
41309823700014,48358462900024,2007-03-01,false,false,2024-03-22T11:12:05
31973033903387,94918773600010,2023-02-10,false,false,2024-03-22T11:12:05
80396847800013,81382527000016,2015-10-09,false,true,2024-03-22T11:12:05
30531778600013,32712549800029,2016-06-22,false,false,2024-03-22T11:12:05
44326865100025,44326865100033,2022-08-28,false,true,2024-03-22T11:12:05
32322178800033,32322178800041,1997-11-26,false,true,2024-03-22T11:12:05
42942948300028,85161147500019,2019-02-01,false,true,2024-03-22T11:12:05
47618062500719,41040946000509,1997-12-01,false,true,2024-03-22T11:12:05
80173294200017,80173294200025,2016-01-01,true,true,2024-03-22T11:12:05
52357706200012,81819610700010,2016-05-09,false,true,2024-03-22T11:12:05
32176039900030,84112696400037,2020-04-15,false,false,2024-03-22T11:12:05
53193739900016,44028375208708,2017-10-31,false,false,2024-03-22T11:12:05
92179266900019,92179266900027,2023-01-31,false,true,2024-03-22T11:12:05
33073384100010,75032373500019,2012-03-15,false,true,2024-03-22T11:12:05
44028375200010,89061690700014,2020-12-01,false,false,2024-03-22T11:12:05
44028375201794,49963531600064,2020-01-01,false,false,2024-03-22T11:12:05
40431302500011,40875390300025,2002-06-27,false,false,2024-03-22T11:12:05
43282387000014,43282387000022,2006-12-15,false,true,2024-03-22T11:12:05
42427835600011,41049508900030,2014-10-01,false,true,2024-03-22T11:12:05
43896749900015,43896749900023,2001-12-01,false,false,2024-03-22T11:12:05
53013757900013,91824432800012,2022-08-01,false,true,2024-03-22T11:12:05
32345546900011,80443559200014,2014-10-02,false,true,2024-03-22T11:12:05
89969786600023,89969786600031,2022-09-15,false,true,2024-03-22T11:12:05
48342602900011,48342602900029,2018-10-29,false,true,2024-03-22T11:12:05
83831294000011,83831294000029,2020-11-16,false,true,2024-03-22T11:12:05
59117682100013,41525551200014,1998-01-01,false,true,2024-03-22T11:12:05
34513048807665,51313471800024,2012-09-17,false,false,2024-03-22T11:12:05
30147813700013,80324183500021,2014-07-22,false,false,2024-03-22T11:12:05
66202519628385,33825313107634,2000-09-01,false,true,2024-03-22T11:12:05
77565229000088,77565229000013,1995-04-21,false,false,2024-03-22T11:12:05
82211709900017,82211709900025,2023-08-31,false,true,2024-03-22T11:12:05
89072907200029,91428403900015,2022-07-23,false,true,2024-03-22T11:12:05
88024135100019,95161215900016,2023-03-01,false,true,2024-03-22T11:12:05
80408943100014,98038374900010,2023-10-23,false,true,2024-03-22T11:12:05
39132196500017,43198032500036,2003-11-12,false,true,2024-03-22T11:12:05
95001575000017,95001575000033,2007-01-01,true,true,2024-03-22T11:12:05
49758723800013,49758723800021,2011-05-15,false,true,2024-03-22T11:12:05
89363976500013,89363976500021,2021-09-01,true,true,2024-03-22T11:12:05
38938602000033,45095911900014,2004-02-20,false,true,2024-03-22T11:12:05
42004736700016,42004736700040,2011-11-03,false,true,2024-03-22T11:12:05
87637258200018,34344094700012,1987-12-01,false,true,2024-03-22T11:12:05
33318580900014,41408389900016,1997-09-15,false,true,2024-03-22T11:12:05
38890885700013,38890885700021,2003-04-01,false,true,2024-03-22T11:12:05
39238180200017,80168813600010,2014-04-14,false,false,2024-03-22T11:12:05
43818857500023,43818857500031,2007-01-01,true,true,2024-03-22T11:12:05
48135192200010,52454572000012,2010-08-16,false,true,2024-03-22T11:12:05
77567559800665,77567559801374,2006-04-21,true,true,2024-03-22T11:12:05
77567559800665,77567559801333,2004-06-30,false,true,2024-03-22T11:12:05
48147123300025,80502922000011,2015-03-20,false,true,2024-03-22T11:12:05
43485195200110,43485195200011,2020-10-01,true,true,2024-03-22T11:12:05
79865297000012,87832635400015,2019-10-14,false,true,2024-03-22T11:12:05
83378450700018,34499152600015,2019-01-01,false,false,2024-03-22T11:12:05
88008557600010,89887236100016,2021-01-21,false,true,2024-03-22T11:12:05
82452797200023,79124587100029,2019-09-30,false,true,2024-03-22T11:12:05
40357218300032,40357218300040,2016-04-22,true,true,2024-03-22T11:12:05
82895548400013,88462895900022,2021-06-15,false,false,2024-03-22T11:12:05
82895548400013,84275184400023,2018-10-11,false,true,2024-03-22T11:12:05
82895548400013,82271919100022,2017-09-01,false,false,2024-03-22T11:12:05
82895548400013,98021467000013,2023-10-23,false,true,2024-03-22T11:12:05
37812646000013,47774289400025,2013-08-28,false,false,2024-03-22T11:12:05
35225456900010,53262641300019,2011-06-30,false,true,2024-03-22T11:12:05
78002452700019,78002452700050,2019-01-26,false,true,2024-03-22T11:12:05
49307465200014,52480539700022,2010-12-17,false,true,2024-03-22T11:12:05
39896362900017,42219903400014,1999-03-01,false,true,2024-03-22T11:12:05
38834982100016,52455199100010,2010-07-17,false,false,2024-03-22T11:12:05
77813466800129,43241118900041,2001-01-01,false,true,2024-03-22T11:12:05
30489965100018,30489965100026,1993-01-01,false,true,2024-03-22T11:12:05
47759416200018,50472257000026,2008-07-01,false,true,2024-03-22T11:12:05
79877415400016,87979625800025,2020-01-31,false,true,2024-03-22T11:12:05
78849922600017,79317244600015,2013-05-06,false,true,2024-03-22T11:12:05
82453594200018,82453594200026,2017-03-22,false,false,2024-03-22T11:12:05
83357754700023,82077062600035,2022-10-01,false,false,2024-03-22T11:12:05
33008352800027,52921238300010,2011-01-01,false,true,2024-03-22T11:12:05
49708027500033,62204843700074,2008-02-01,false,true,2024-03-22T11:12:05
50131271400022,49457805700031,2009-12-28,false,true,2024-03-22T11:12:05
42692058300066,50784122900762,2008-10-01,false,false,2024-03-22T11:12:05
43031029200015,43031029200023,2009-01-02,true,true,2024-03-22T11:12:05
83908532100025,35136130800023,2022-04-30,false,false,2024-03-22T11:12:05
41040946000293,41040946000269,2015-01-01,false,true,2024-03-22T11:12:05
33869630500022,83111007700011,2017-09-04,false,true,2024-03-22T11:12:05
88388724200013,98058135900018,2023-12-04,false,false,2024-03-22T11:12:05
32469385200018,32469385200026,2005-08-11,true,true,2024-03-22T11:12:05
48518766000017,48518766000025,2010-04-01,true,true,2024-03-22T11:12:05
